project_name,sector,status,agency,ministry,state_name,district_name,start_date,planned_end_date,cost_estimate_cr,funding_source,latitude,longitude,description,external_ref,retrieved_date,confidence
Chennai Metro Phase II,Urban Transit,ONGOING,CMRL,Ministry of Housing & Urban Affairs,Tamil Nadu,Chennai,2019-01-01,2027-12-31,61940,STATE_GOVT,13.0827,80.2707,Extension of the Chennai metro network (Phase II corridors) — SAMPLE DATA,cmrl-ph2-2019,2026-01-15,OFFICIAL
Mumbai Coastal Road,Bridges and Roads,ONGOING,MMRDA,Ministry of Housing & Urban Affairs,Maharashtra,Mumbai,2018-10-01,2026-06-30,12700,CENTRAL_GOVT,18.9750,72.8258,North-south coastal corridor along the western seafront — SAMPLE DATA,mcr-2018,2026-01-15,OFFICIAL
Delhi–Meerut RRTS,Railways,ONGOING,NCRTC,Ministry of Railways,Delhi,Uttar Pradesh Eastern,2019-03-01,2026-03-31,30274,MIXED,28.6139,77.2090,Regional rapid transit corridor — SAMPLE DATA,rrts-2019,2026-01-15,OFFICIAL
Greenfield Airport at Jewar,Airports,ONGOING,YIAPL,Ministry of Civil Aviation,Uttar Pradesh,Gautam Buddha Nagar,2021-10-01,2028-12-31,29459,PPP,28.3616,77.7829,Noida International Airport — SAMPLE DATA,jewar-2021,2026-01-15,OFFICIAL
Sardar Sarovar Dam (ongoing works),Irrigation,COMPLETED,Sardar Sarovar Narmada Nigam,Ministry of Jal Shakti,Gujarat,Bharuch,1987-04-01,2019-12-31,249586,STATE_GOVT,21.8300,73.7487,Completed dam and canal works — SAMPLE DATA,ssnnl-1987,2026-01-15,OFFICIAL
Kudankulam Unit 3 and 4,Power,ONGOING,NPCL,Department of Atomic Energy,Tamil Nadu,Tirunelveli,2017-06-15,2030-03-31,40123,CENTRAL_GOVT,8.1680,77.7060,VVER-1000 units 3-4 — SAMPLE DATA,kudankulam-3-4,2026-01-15,OFFICIAL
Eastern Dedicated Freight Corridor,Railways,ONGOING,DFCCIL,Ministry of Railways,West Bengal,multiple,2006-01-01,2027-12-31,119822,MIXED,23.5000,87.5000,Multi-state corridor (sample geolocated to West Bengal) — SAMPLE DATA,dfc-east,2026-01-15,OFFICIAL
Vizhinjam International Seaport,Ports,ONGOING,Vizhinjam Port Development,"Ministry of Ports, Shipping and Waterways",Kerala,Thiruvananthapuram,2015-12-01,2027-06-30,20000,PPP,8.3530,77.0000,Deep-water transshipment port — SAMPLE DATA,vizhinjam-2015,2026-01-15,OFFICIAL
Haryana Orbital Rail Corridor,Railways,ONGOING,HSAIDC,Ministry of Railways,Haryana,Gurugram,2021-04-01,2026-09-30,5618,CENTRAL_GOVT,28.6000,76.9000,Connecting Palwal to Jajru via Patli — SAMPLE DATA,horb-2021,2026-01-15,OFFICIAL
Green Hydrogen Plant at Keeludes,Energy,DELAYED,Greenko Group,Ministry of New and Renewable Energy,Andhra Pradesh,Kurnool,2024-01-01,2027-12-31,26000,PRIVATE,16.1500,78.2500,Sample record for delayed-status demo — SAMPLE DATA,keeludes-hydrogen,2026-01-15,UNVERIFIED
Delhi–Mumbai Expressway,Highways,ONGOING,NHAI,Ministry of Road Transport and Highways,Gujarat,Vadodara,2019-01-01,2026-12-31,98000,CENTRAL_GOVT,22.3072,73.1812,Delhi–Mumbai Greenfield expressway passing through Gujarat — SAMPLE DATA,dm-expwy,2026-01-15,OFFICIAL
Bengaluru–Chennai Expressway,Highways,ONGOING,NHAI,Ministry of Road Transport and Highways,Andhra Pradesh,Chittoor,2021-06-01,2027-06-30,17700,CENTRAL_GOVT,13.2172,79.1003,Greenfield expressway linking Bengaluru and Chennai — SAMPLE DATA,blr-chennai-expwy,2026-01-15,OFFICIAL
Amritsar–Bhatinda–Jamnagar Expressway,Highways,ONGOING,NHAI,Ministry of Road Transport and Highways,Punjab,Amritsar,2021-03-01,2027-09-30,55000,CENTRAL_GOVT,31.6340,74.8723,Greenfield corridor from Amritsar to Jamnagar — SAMPLE DATA,amr-jamnagar-expwy,2026-01-15,OFFICIAL
Zojila Tunnel,Roads,ONGOING,NHIDCL,Ministry of Road Transport and Highways,Ladakh,Kargil,2018-05-01,2026-12-31,12680,CENTRAL_GOVT,34.3211,75.7725,All-weather strategic tunnel across the Zojila pass — SAMPLE DATA,zojila-tunnel,2026-01-15,OFFICIAL
Atal Tunnel (Rohtang),Roads,COMPLETED,Border Roads Organisation,Ministry of Defence,Himachal Pradesh,Lahaul and Spiti,2010-06-01,2020-10-03,3298,CENTRAL_GOVT,32.3686,77.1383,World's longest highway tunnel above 10000 ft — SAMPLE DATA,atal-tunnel,2026-01-15,OFFICIAL
Atal Setu (Mumbai Trans Harbour Link),Bridges and Roads,COMPLETED,MMRDA,Ministry of Road Transport and Highways,Maharashtra,Mumbai,2018-01-01,2024-01-12,17843,CENTRAL_GOVT,19.0232,72.9169,Sea bridge connecting Mumbai with Navi Mumbai — SAMPLE DATA,atal-setu-mthl,2026-01-15,OFFICIAL
Eastern Peripheral Expressway,Highways,COMPLETED,NHAI,Ministry of Road Transport and Highways,Haryana,Palwal,2014-01-01,2018-05-27,11098,CENTRAL_GOVT,28.1440,77.3260,Ring expressway decongesting Delhi — SAMPLE DATA,east-peripheral-expwy,2026-01-15,OFFICIAL
Delhi–Amritsar–Katra Expressway,Highways,ONGOING,NHAI,Ministry of Road Transport and Highways,Punjab,Jalandhar,2021-08-01,2027-03-31,34400,CENTRAL_GOVT,31.3256,75.5792,High-speed corridor to the Mata Vaishno Devi shrine — SAMPLE DATA,dak-expwy,2026-01-15,OFFICIAL
Chardham Mahamarg (Rishikesh–Karanprayag),Highways,ONGOING,NHIDCL,Ministry of Road Transport and Highways,Uttarakhand,Pauri Garhwal,2017-01-01,2026-12-31,12000,CENTRAL_GOVT,30.1150,78.7999,All-weather road to the Char Dham shrines — SAMPLE DATA,chardham-mahamarg,2026-01-15,UNVERIFIED
Samruddhi Mahamarg,Highways,COMPLETED,MSRDC,Government of Maharashtra,Maharashtra,Nagpur,2019-01-01,2022-12-11,55000,STATE_GOVT,21.1458,79.0882,Mumbai–Nagpur expressway — SAMPLE DATA,samruddhi-mahamarg,2026-01-15,OFFICIAL
Vijayawada–Ranchi Expressway,Highways,ONGOING,NHAI,Ministry of Road Transport and Highways,Andhra Pradesh,Krishna,2022-01-01,2027-12-31,11000,CENTRAL_GOVT,16.5062,80.6480,Greenfield corridor linking the Andhra coast with Jharkhand — SAMPLE DATA,vijayawada-ranchi,2026-01-15,OFFICIAL
Navi Mumbai International Airport,Airports,ONGOING,CIDCO,Ministry of Civil Aviation,Maharashtra,Raigad,2021-08-01,2027-06-30,16700,PPP,18.9242,72.9722,Greenfield airport on the Panvel–Ulwe plateau — SAMPLE DATA,nmia,2026-01-15,OFFICIAL
Purandar International Airport,Airports,ONGOING,MIDC,Ministry of Civil Aviation,Maharashtra,Pune,2023-01-01,2029-03-31,24000,PPP,18.3299,73.8574,Second airport for the Pune region — SAMPLE DATA,purandar-airport,2026-01-15,UNVERIFIED
Deoghar International Airport,Airports,COMPLETED,AAI,Ministry of Civil Aviation,Jharkhand,Deoghar,2018-01-01,2022-07-12,451,CENTRAL_GOVT,24.2798,86.5695,Greenfield airport serving the Baba Baidyanath temple circuit — SAMPLE DATA,deoghar-airport,2026-01-15,OFFICIAL
Bengaluru Metro Phase 2,Metro Rail,ONGOING,BMRCL,Ministry of Housing & Urban Affairs,Karnataka,Bengaluru Urban,2016-01-01,2027-12-31,26000,MIXED,12.9716,77.5946,Extensions to the Namma Metro network — SAMPLE DATA,bmrcl-phase2,2026-01-15,OFFICIAL
Mumbai Metro Line 3,Metro Rail,ONGOING,MMRCL,Ministry of Housing & Urban Affairs,Maharashtra,Mumbai,2016-01-01,2026-09-30,37276,MIXED,19.0330,72.8349,Underground metro from Colaba to SEEPZ — SAMPLE DATA,mumbai-metro-3,2026-01-15,OFFICIAL
Pune Metro,Metro Rail,ONGOING,MahaMetro,Ministry of Housing & Urban Affairs,Maharashtra,Pune,2017-01-01,2025-12-31,11420,MIXED,18.5204,73.8567,Two-corridor metro for Pune — SAMPLE DATA,pune-metro,2026-01-15,OFFICIAL
Kochi Metro Phase 1,Metro Rail,COMPLETED,KMRL,Ministry of Housing & Urban Affairs,Kerala,Ernakulam,2013-01-01,2019-05-19,5181,MIXED,9.9812,76.2875,Kochi's first metro corridor — SAMPLE DATA,kochi-metro-ph1,2026-01-15,OFFICIAL
Hyderabad Metro Phase 1,Metro Rail,COMPLETED,L&T Metro Rail,Government of Telangana,Telangana,Hyderabad,2012-01-01,2020-01-11,18961,PPP,17.3850,78.4867,World's largest PPP metro project — SAMPLE DATA,hyd-metro-ph1,2026-01-15,OFFICIAL
Nagpur Metro Phase 1,Metro Rail,COMPLETED,MMRCL,Ministry of Housing & Urban Affairs,Maharashtra,Nagpur,2016-01-01,2019-12-12,8680,MIXED,21.1458,79.0882,Orange and Aqua corridors of the Nagpur metro — SAMPLE DATA,nagpur-metro-ph1,2026-01-15,OFFICIAL
Kanpur Metro,Metro Rail,COMPLETED,UPMRC,Ministry of Housing & Urban Affairs,Uttar Pradesh,Kanpur Nagar,2019-01-01,2021-12-05,11076,MIXED,26.4499,80.3319,Priority and general corridors of the Kanpur metro — SAMPLE DATA,kanpur-metro,2026-01-15,OFFICIAL
Kolkata East–West Metro,Metro Rail,DELAYED,RVNL,Ministry of Railways,West Bengal,Kolkata,2009-01-01,2026-03-31,8575,CENTRAL_GOVT,22.5431,88.3331,East–West corridor under the Hooghly river — SAMPLE DATA,kolkata-ew-metro,2026-01-15,OFFICIAL
Delhi Metro Phase 4,Metro Rail,ONGOING,DMRC,Ministry of Housing & Urban Affairs,Delhi,New Delhi,2019-01-01,2028-12-31,24000,MIXED,28.6139,77.2090,Aerocity and Majlis Park extension corridors — SAMPLE DATA,dmrc-phase4,2026-01-15,OFFICIAL
Agra Metro,Metro Rail,ONGOING,UPMRC,Ministry of Housing & Urban Affairs,Uttar Pradesh,Agra,2020-01-01,2026-12-31,8391,MIXED,27.1767,78.0081,Metro connecting the Taj Mahal tourist core — SAMPLE DATA,agra-metro,2026-01-15,OFFICIAL
Udhampur–Srinagar–Baramulla Rail Link,Railways,ONGOING,Northern Railway,Ministry of Railways,Jammu & Kashmir,Srinagar,2002-01-01,2027-12-31,37007,CENTRAL_GOVT,34.0837,74.7973,All-weather rail link to the Kashmir Valley — SAMPLE DATA,usbrl,2026-01-15,OFFICIAL
Mumbai–Ahmedabad High Speed Rail,Railways,DELAYED,NHSRCL,Ministry of Railways,Gujarat,Ahmedabad,2017-09-01,2031-12-31,110000,MIXED,23.0225,72.5714,India's first bullet-train corridor — SAMPLE DATA,mahsr-bullet,2026-01-15,OFFICIAL
Western Dedicated Freight Corridor,Railways,ONGOING,DFCCIL,Ministry of Railways,Rajasthan,Sawai Madhopur,2009-01-01,2027-12-31,81000,MIXED,26.0231,76.3538,Dedicated freight corridor via Vadodara and Rewari — SAMPLE DATA,western-dfc,2026-01-15,OFFICIAL
Bhadla Solar Park,Renewable Energy,COMPLETED,RVUNL,Ministry of New and Renewable Energy,Rajasthan,Jodhpur,2015-01-01,2019-03-31,10000,PPP,27.4115,71.9579,One of the world's largest solar parks — SAMPLE DATA,bhadla-solar,2026-01-15,OFFICIAL
Khavda Renewable Energy Park,Renewable Energy,ONGOING,Adani Green Energy,Ministry of New and Renewable Energy,Gujarat,Kutch,2021-01-01,2029-12-31,150000,PRIVATE,23.7337,69.8597,World's largest planned renewable energy park — SAMPLE DATA,khavda-renewable,2026-01-15,OFFICIAL
Rewa Ultra Mega Solar,Renewable Energy,COMPLETED,RUMSL,Ministry of New and Renewable Energy,Madhya Pradesh,Rewa,2015-01-01,2020-07-01,4600,MIXED,24.5352,81.2945,750 MW solar park supplying Delhi Metro — SAMPLE DATA,rewa-ums,2026-01-15,OFFICIAL
Jaitapur Nuclear Power Plant,Nuclear Power,STALLED,NPCIL,Department of Atomic Energy,Maharashtra,Ratnagiri,2012-01-01,2032-12-31,100000,CENTRAL_GOVT,16.3853,73.3225,Six-unit 9900 MW plant awaiting final investment decision — SAMPLE DATA,jaitapur,2026-01-15,UNVERIFIED
Polavaram Irrigation Project,Irrigation,DELAYED,Polavaram Project Authority,Ministry of Jal Shakti,Andhra Pradesh,Eluru,2004-01-01,2028-12-31,55000,CENTRAL_GOVT,17.2478,81.6422,Major lift-cum-gravity irrigation on the Godavari — SAMPLE DATA,polavaram,2026-01-15,OFFICIAL
Kaleshwaram Lift Irrigation Scheme,Irrigation,ONGOING,Kaleshwaram Project Commission,Government of Telangana,Telangana,Jayashankar Bhupalpally,2016-01-01,2027-12-31,80000,STATE_GOVT,18.7660,79.5961,World's largest lift irrigation scheme — SAMPLE DATA,kaleshwaram,2026-01-15,OFFICIAL
Ken–Betwa River Link,Water,ONGOING,Ken-Betwa Link Authority,Ministry of Jal Shakti,Madhya Pradesh,Chhatarpur,2022-01-01,2030-12-31,44605,CENTRAL_GOVT,25.0650,79.5922,First project of the National River Linking Programme — SAMPLE DATA,ken-betwa,2026-01-15,UNVERIFIED
Renukaji Dam,Water,ONGOING,Irrigation and Public Health Department,Government of Himachal Pradesh,Himachal Pradesh,Sirmaur,2020-01-01,2030-12-31,6913,STATE_GOVT,30.8830,77.5379,Multipurpose dam storing Yamuna flows for Delhi — SAMPLE DATA,renukaji-dam,2026-01-15,OFFICIAL
Lakhwar Multipurpose Project,Hydro Power,ONGOING,Irrigation Department UP,Ministry of Jal Shakti,Uttarakhand,Dehradun,2018-01-01,2028-12-31,3956,CENTRAL_GOVT,30.3165,78.0322,Multipurpose dam on the Yamuna upstream of Dehradun — SAMPLE DATA,lakhwar-mp,2026-01-15,OFFICIAL
Vadhvan Port,Ports,ONGOING,JNPA-Vadhvan Port,"Ministry of Ports, Shipping and Waterways",Maharashtra,Palghar,2022-01-01,2030-12-31,76000,PPP,20.1157,72.7174,Deep-water container port north of Mumbai — SAMPLE DATA,vadhavan-port,2026-01-15,OFFICIAL
AIIMS Rewari (Gurugram),Social Infrastructure,ONGOING,CPWD,Ministry of Health and Family Welfare,Haryana,Rewari,2019-01-01,2027-12-31,3500,CENTRAL_GOVT,28.1995,76.5978,New All India Institute of Medical Sciences campus — SAMPLE DATA,aiims-rewari,2026-01-15,OFFICIAL
Kedarnath Ropeway,Transport,ONGOING,Kedarnath Ropeway Ltd,Ministry of Tourism,Uttarakhand,Rudraprayag,2022-01-01,2027-12-31,4000,PPP,30.7775,79.0663,Aerial ropeway to the Kedarnath shrine — SAMPLE DATA,kedarnath-ropeway,2026-01-15,OFFICIAL
Chennai–Andaman Submarine Cable,Communication,COMPLETED,BSNL,Department of Telecommunications,Andaman and Nicobar Islands,South Andaman,2018-01-01,2020-08-10,1224,CENTRAL_GOVT,11.6636,92.7359,National submarine fibre link to the islands — SAMPLE DATA,an-submarine-cable,2026-01-15,OFFICIAL
Jharia Coal Town Redevelopment,Coal Mining,ONGOING,BCCL,Ministry of Coal,Jharkhand,Dhanbad,2019-01-01,2030-12-31,8500,CENTRAL_GOVT,23.7956,86.4304,Resettlement and fire mitigation in the Jharia coalfields — SAMPLE DATA,jharia-cdi,2026-01-15,UNVERIFIED
Omkareshwar Floating Solar Park,Solar,ONGOING,MPPMCL,Government of Madhya Pradesh,Madhya Pradesh,Khandwa,2022-01-01,2026-12-31,2500,CENTRAL_GOVT,22.2406,76.1503,Floating solar array on the Omkareshwar reservoir — SAMPLE DATA,omkareshwar-floating,2026-01-15,OFFICIAL
Ganga Expressway,Highways,ONGOING,UPEIDA,Government of Uttar Pradesh,Uttar Pradesh,Kanpur,2021-01-01,2027-12-31,36230,STATE_GOVT,26.4499,80.3319,Connecting Noida to Prayagraj along the Ganga — SAMPLE DATA,ganga-expressway,2026-01-15,OFFICIAL
Ahmedabad Metro Phase 2,Metro Rail,ONGOING,Gujarat Metro Rail Corporation,Government of Gujarat,Gujarat,Ahmedabad,2021-01-01,2028-12-31,5214,MIXED,23.1115,72.6115,Extension corridors to the north and west of Ahmedabad — SAMPLE DATA,ahmedabad-metro2,2026-01-15,OFFICIAL
